1715	OTH
1716	OTH
1717	OTH
1718	OTH
1719	OTH
1720	OTH
1721	OTH
1722	OTH
1723	OTH
1724	OTH
1725	OTH
1726	OTH
1727	OTH
1728	OTH
1729	OTH
1730	OTH
1731	OTH
1732	OTH
1733	OTH
1734	OTH
1735	OTH
1736	OTH
1737	OTH
1738	OTH
1739	OTH
1740	OTH
1741	OTH
1742	OTH
1743	OTH
1744	OTH
1745	OTH
1746	OTH
1747	OTH
1748	OTH
1749	OTH
1750	OTH
1751	OTH
1752	OTH
1753	OTH
1754	OTH
1755	OTH
1756	OTH
1757	OTH
1758	OTH
1759	OTH
1760	OTH
1761	OTH
1762	OTH
1763	OTH
1764	OTH
1765	OTH
1766	OTH
1767	OTH
1768	OTH
1769	OTH
1770	OTH
1771	OTH
1772	OTH
1773	OTH
1774	OTH
1775	OTH
1776	OTH
1777	OTH
1778	OTH
1779	OTH
1780	OTH
1781	OTH
1782	OTH
1783	OTH
1784	OTH
1785	OTH
1786	OTH
1787	OTH
1788	OTH
1789	OTH
1790	OTH
1791	OTH
1792	OTH
1793	OTH
1794	OTH
1795	OTH
1796	OTH
1797	OTH
1798	OTH
1799	OTH
1800	OTH
1801	OTH
1802	OTH
1803	OTH
1804	OTH
1805	OTH
1806	OTH
1807	OTH
1808	OTH
1809	OTH
1810	OTH
1811	OTH
1812	OTH
1813	OTH
1814	OTH
1815	OTH
1816	OTH
1817	OTH
1818	OTH
1819	OTH
1820	OTH
1821	OTH
1822	OTH
1823	OTH
1824	OTH
1825	OTH
1826	OTH
1827	OTH
1828	OTH
1829	OTH
1830	OTH
1831	OTH
1832	OTH
1833	OTH
1834	OTH
1835	OTH
1836	OTH
1837	OTH
1838	OTH
1839	OTH
1840	OTH
1841	OTH
1842	OTH
1843	OTH
1844	OTH
1845	OTH
1846	OTH
1847	OTH
1848	OTH
1849	OTH
1850	OTH
1851	OTH
1852	OTH
1853	OTH
1854	OTH
1855	OTH
1856	OTH
1857	OTH
1858	OTH
1859	OTH
1860	OTH
1861	OTH
1862	OTH
1863	OTH
1864	OTH
1865	OTH
1866	OTH
1867	OTH
1868	OTH
1869	OTH
1870	OTH
1871	OTH
1872	OTH
1873	OTH
1874	OTH
1875	OTH
1876	OTH
1877	OTH
1878	OTH
1879	OTH
1880	OTH
1881	OTH
1882	OTH
1883	OTH
1884	OTH
1885	OTH
1886	OTH
1887	OTH
1888	OTH
1889	OTH
1890	OTH
1891	OTH
1892	OTH
1893	OTH
1894	OTH
1895	SNI
1896	SNI
1897	SNI
1898	SNI
1899	SNI
1900	SNI
1901	SNI
1902	SNI
1903	SNI
1904	SNI
1905	SNI
1906	SNI
1907	SNI
1908	SNI
1909	SNI
1910	SNI
1911	SNI
1912	SNI
1913	SNI
1914	SNI
1915	SNI
1916	SNI
1917	SNI
1918	SNI
1919	SNI
1920	SNI
1921	SNI
1922	SNI
1923	SNI
1924	SNI
1925	SNI
1926	SNI
1927	SNI
1928	SNI
1929	SNI
1930	SNI
1931	SNI
1932	SNI
1933	SNI
1934	SNI
1935	SNI
1936	SNI
1937	SNI
1938	SNI
1939	SNI
1940	SNI
1941	SNI
1942	SNI
1943	SNI
1944	SNI
1945	SNI
1946	SNI
1947	SNI
1948	SNI
1949	SNI
1950	SNI
1951	SNI
1952	SNI
1953	SNI
1954	SNI
1955	SNI
1956	SNI
1957	SNI
1958	SNI
1959	SNI
1960	SNI
1961	SNI
1962	SNI
1963	SNI
1964	SNI
1965	SNI
1966	SNI
1967	SNI
1968	SNI
1969	SNI
1970	SNI
1971	SNI
1972	SNI
1973	SNI
1974	SNI
1975	SNI
1976	SNI
1977	SNI
1978	SNI
1979	SNI
1980	SNI
1981	SNI
1982	SNI
1983	SNI
1984	SNI
1985	SNI
1986	SNI
1987	SNI
1988	SNI
1989	SNI
1990	SNI
1991	SNI
1992	HFR
1993	HFR
1994	HFR
1995	HFR
1996	HFR
1997	HFR
1998	HFR
